danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.503,0.265,2,-15.913,1,0.0333,0.943,0.045,0.0867,0.522,78.044,audio_features,70gbuMqwNBE2Y5rkQJE9By,spotify:track:70gbuMqwNBE2Y5rkQJE9By,https://api.spotify.com/v1/tracks/70gbuMqwNBE2Y5rkQJE9By,https://api.spotify.com/v1/audio-analysis/70gbuMqwNBE2Y5rkQJE9By,212161,4
0.355,0.0304,1,-20.479,1,0.0361,0.989,0.0555,0.116,0.188,90.495,audio_features,4smkJW6uzoHxGReZqqwHS5,spotify:track:4smkJW6uzoHxGReZqqwHS5,https://api.spotify.com/v1/tracks/4smkJW6uzoHxGReZqqwHS5,https://api.spotify.com/v1/audio-analysis/4smkJW6uzoHxGReZqqwHS5,211533,3
0.475,0.178,7,-9.976,1,0.0347,0.745,0.000189,0.0899,0.23,136.687,audio_features,1ptwL6lZNLc654XAaHqcHb,spotify:track:1ptwL6lZNLc654XAaHqcHb,https://api.spotify.com/v1/tracks/1ptwL6lZNLc654XAaHqcHb,https://api.spotify.com/v1/audio-analysis/1ptwL6lZNLc654XAaHqcHb,280107,4
0.358,0.00527,6,-37.703,0,0.0407,0.985,0.89,0.108,0.212,103.791,audio_features,617B8BzRj0qN4cx8ITXV5B,spotify:track:617B8BzRj0qN4cx8ITXV5B,https://api.spotify.com/v1/tracks/617B8BzRj0qN4cx8ITXV5B,https://api.spotify.com/v1/audio-analysis/617B8BzRj0qN4cx8ITXV5B,198585,4
0.59,0.208,10,-13.25,1,0.0316,0.466,2.81e-05,0.115,0.293,90.084,audio_features,04rMpRstoJt3uvqyNGKczX,spotify:track:04rMpRstoJt3uvqyNGKczX,https://api.spotify.com/v1/tracks/04rMpRstoJt3uvqyNGKczX,https://api.spotify.com/v1/audio-analysis/04rMpRstoJt3uvqyNGKczX,211667,4
0.401,0.213,1,-13.124,1,0.0545,0.346,1.05e-05,0.0596,0.678,110.611,audio_features,2csA2nDUNR5TfQEn1I7nt4,spotify:track:2csA2nDUNR5TfQEn1I7nt4,https://api.spotify.com/v1/tracks/2csA2nDUNR5TfQEn1I7nt4,https://api.spotify.com/v1/audio-analysis/2csA2nDUNR5TfQEn1I7nt4,129333,4
0.624,0.599,1,-6.53,1,0.0293,0.241,0.0318,0.183,0.297,128.861,audio_features,0PkT17sTXfokKBGc2fXjFG,spotify:track:0PkT17sTXfokKBGc2fXjFG,https://api.spotify.com/v1/tracks/0PkT17sTXfokKBGc2fXjFG,https://api.spotify.com/v1/audio-analysis/0PkT17sTXfokKBGc2fXjFG,497280,4
0.547,0.38,5,-9.521,1,0.0282,0.865,0.152,0.107,0.395,83.579,audio_features,5QUeSXjTMHbq1fW5da2waF,spotify:track:5QUeSXjTMHbq1fW5da2waF,https://api.spotify.com/v1/tracks/5QUeSXjTMHbq1fW5da2waF,https://api.spotify.com/v1/audio-analysis/5QUeSXjTMHbq1fW5da2waF,160926,4
0.344,0.108,5,-16.631,1,0.0475,0.971,0.0,0.0961,0.263,61.188,audio_features,0gE63HwMeWgK30ONO4witM,spotify:track:0gE63HwMeWgK30ONO4witM,https://api.spotify.com/v1/tracks/0gE63HwMeWgK30ONO4witM,https://api.spotify.com/v1/audio-analysis/0gE63HwMeWgK30ONO4witM,423493,4
0.243,0.126,3,-17.056,1,0.031,0.797,0.771,0.113,0.0662,86.384,audio_features,1tPxS73bDg0Kz02CNIpO55,spotify:track:1tPxS73bDg0Kz02CNIpO55,https://api.spotify.com/v1/tracks/1tPxS73bDg0Kz02CNIpO55,https://api.spotify.com/v1/audio-analysis/1tPxS73bDg0Kz02CNIpO55,177533,4
0.774,0.456,1,-10.804,1,0.143,0.14,0.875,0.104,0.383,85.044,audio_features,2rtddy4Np20WZI3RNMHgEs,spotify:track:2rtddy4Np20WZI3RNMHgEs,https://api.spotify.com/v1/tracks/2rtddy4Np20WZI3RNMHgEs,https://api.spotify.com/v1/audio-analysis/2rtddy4Np20WZI3RNMHgEs,118587,4
0.555,0.209,1,-13.705,1,0.0336,0.977,0.000606,0.106,0.302,126.459,audio_features,15sHXEkOMnbcMjW0Gohl1t,spotify:track:15sHXEkOMnbcMjW0Gohl1t,https://api.spotify.com/v1/tracks/15sHXEkOMnbcMjW0Gohl1t,https://api.spotify.com/v1/audio-analysis/15sHXEkOMnbcMjW0Gohl1t,231507,4
